#VALUE!,අකුර ඇකඩමි,,,,,,,,,,,,
ඔබ විසින් සකස් කරන ප්‍රශ්න සහ උත්තර පහත පරිදි සම්පූර්ණ කොට එවීමට කාරුණික වන්න.,,,,,විෂය- සිංහල/ විද්‍යාව,,අංශය - උසස් පෙළ / සාමාන්‍ය පෙළ,,,නම - ඒ. කේ. කුමාර (ඔබේ නම),,දු.ක.අං - ,ඊමේලය - 
Q709,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q710,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q711,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q712,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q713,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q714,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q715,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q716,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q717,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q718,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q719,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q720,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q721,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q722,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q723,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q724,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q725,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q726,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q727,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q728,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q729,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q730,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q731,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q732,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q733,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q734,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q735,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q736,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q737,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q738,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q739,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q740,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q741,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q742,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q743,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q744,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q745,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q746,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q747,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q748,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q749,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q750,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q751,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q752,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q753,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q754,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q755,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q756,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q757,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q758,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q759,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q760,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q761,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q762,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q763,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q764,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q765,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q766,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q767,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q768,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q769,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q770,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q771,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q772,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q773,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q774,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q775,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q776,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q777,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q778,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q779,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q780,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q781,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q782,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q783,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q784,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q785,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q786,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q787,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q788,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q789,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q790,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q791,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q792,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q793,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q794,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q795,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q796,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q797,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q798,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q799,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q800,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q801,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q802,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q803,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q804,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q805,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q806,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q807,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q808,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q809,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q810,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q811,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q812,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q813,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q814,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q815,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q816,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q817,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q818,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q819,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q820,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q821,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q822,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q823,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q824,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q825,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q826,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q827,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q828,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q829,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q830,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q831,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q832,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q833,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q834,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q835,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q836,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q837,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q838,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q839,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q840,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q841,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q842,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q843,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q844,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q845,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q846,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q847,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q848,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q849,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q850,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q851,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q852,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q853,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q854,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q855,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q856,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q857,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q858,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q859,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q860,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q861,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q862,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q863,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q864,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q865,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q866,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q867,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q868,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q869,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q870,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q871,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q872,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q873,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q874,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q875,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q876,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q877,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q878,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q879,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q880,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q881,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q882,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q883,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q884,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q885,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q886,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q887,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q888,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q889,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q890,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q891,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q892,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q893,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q894,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q895,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q896,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q897,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q898,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q899,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q900,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q901,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q902,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q903,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q904,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q905,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q906,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q907,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q908,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q909,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q910,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q911,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q912,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q913,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q914,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q915,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q916,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q917,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q918,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q919,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q920,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q921,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q922,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q923,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q924,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q925,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q926,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q927,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q928,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q929,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q930,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q931,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q932,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q933,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q934,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q935,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q936,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q937,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q938,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q939,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q940,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q941,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q942,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q943,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q944,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q945,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q946,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q947,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q948,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q949,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q950,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q951,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q952,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q953,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q954,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q955,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q956,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q957,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q958,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q959,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q960,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q961,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q962,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q963,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q964,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q965,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q966,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q967,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q968,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q969,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q970,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q971,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q972,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q973,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q974,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q975,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q976,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q977,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q978,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q979,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q980,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q981,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q982,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q983,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q984,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q985,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q986,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q987,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q988,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q989,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q990,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q991,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q992,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q993,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q994,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q995,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q996,,,,,,,,,,,,,
Q997,,,,,,,,,,,,,
Q998,,,,,,,,,,,,,
